name,type,source_rank,approx_dates,status,matching_histomap_records,classification_flag,notes,suggested_action,wikipedia_url,wikidata_qid,qid_cross_check,histomap_url,histomap_dates,histomap_notes
Kingdom of Kush,polity,1,c. 1070 BCE onward,present,kingdom_of_kush (polity),,,,https://en.wikipedia.org/wiki/Kingdom_of_Kush,Q241790,http://localhost:8000/explore?entity=kingdom_of_kush,,
Kingdom of Israel (united monarchy),polity,2,c. 1050-930 BCE,present,united_kingdom_of_israel (polity),,,,https://en.wikipedia.org/wiki/Kingdom_of_Israel_(united_monarchy),Q3185305,http://localhost:8000/explore?entity=united_kingdom_of_israel,,
Carthage founded,polity,3,814 BCE,present,carthage (polity),,,,https://en.wikipedia.org/wiki/Carthage,Q6343,http://localhost:8000/explore?entity=carthage,,
Shang dynasty,polity,4,c. 1766-1046 BCE,present,shang_dynasty (polity),,,,https://en.wikipedia.org/wiki/Shang_dynasty,Q128938,http://localhost:8000/explore?entity=shang_dynasty,,
Zhou dynasty,polity,5,c. 1046-256 BCE,present,zhou_dynasty (polity),,,,https://en.wikipedia.org/wiki/Zhou_dynasty,Q35216,http://localhost:8000/explore?entity=zhou_dynasty,,
Peloponnesian War,event,6,431-404 BCE,present,peloponnesian_war (event),,,,https://en.wikipedia.org/wiki/Peloponnesian_War,Q33745,http://localhost:8000/explore?entity=peloponnesian_war,,
Punic Wars,event,7,264-146 BCE,present,punic_wars (event),,,,https://en.wikipedia.org/wiki/Punic_Wars,Q124988,http://localhost:8000/explore?entity=punic_wars,,
Christianity becomes Roman state religion,event,8,391 CE,missing,,"candidate event, same pattern as life_of_jesus/birth_of_islam",Theodosius's Edict of Thessalonica; a major turning point in the spread of Christianity.,consider a new event record,https://en.wikipedia.org/wiki/Christianity_as_the_Roman_state_religion,Q7603670,,,,
Sack of Rome (410),event,9,410 CE,missing,"western_roman_empire (polity, 395-476) already exists as a bound target",candidate event,"A major symbolic blow to the Western Roman Empire, widely cited as marking the start of its terminal decline.",consider a new event record,https://en.wikipedia.org/wiki/Sack_of_Rome_(410),Q1463845,,http://localhost:8000/explore?entity=western_roman_empire,395 to 476,
Muslim conquest of Egypt,event,10,639-646 CE,missing,"rashidun_caliphate (polity, 632-661) already exists as a bound target",candidate event,Marks the start of the Islamic era in Egypt.,consider a new event record,https://en.wikipedia.org/wiki/Arab_conquest_of_Egypt,Q317519,,http://localhost:8000/explore?entity=rashidun_caliphate,632 to 661,
Treaty of Verdun,event,11,843 CE,missing,"east_francia, west_francia, middle_francia (polities) all start exactly 843","candidate event, high value","Splits the Carolingian Empire into the three kingdoms that become the nucleus of France, Germany, and Italy; a strong bounds candidate if any of those three were a Period record (they are currently Polities only).",consider a new event record,https://en.wikipedia.org/wiki/Treaty_of_Verdun,Q134840,,http://localhost:8000/explore?entity=west_francia,843 to 987,
