name,type,wikipedia_section,approx_dates,status,matching_histomap_records,classification_flag,notes,suggested_action,wikipedia_url,wikidata_qid,qid_cross_check,histomap_url,histomap_dates,histomap_notes
Pleistocene,epoch,Prehistory,"before 11,650 BP",present,"geological_epochs.js: pleistocene (static Epoch band, not a periods/*.yaml record)",,"Reported live: user correctly pointed out this IS visible on /explore -- my first pass only searched polities/periods YAML, missing the separate static geological-epoch band.",,https://en.wikipedia.org/wiki/Pleistocene,Q25546,matched record has no wikidata id on file,,,
Paleolithic,period,Human origins,"c. 3.3 million years ago - 10,000 BCE",present,"paleolithic_era (period, tier=regional_era)",,,,https://en.wikipedia.org/wiki/Paleolithic,Q40203,matched record has no wikidata id on file,http://localhost:8000/explore?entity=paleolithic_era,3000000 BCE - 10000 BCE,"Overarching parent for the regional Paleolithic variants, which cover meaningfully different spans in different places -- from the earliest African stone tools (~-3,000,000) through the end of the las"
Neolithic,period,Neolithic,"c. 10,000 BCE - Bronze Age",partial / related records exist,"east_asian_neolithic_era (period, tier=period); european_neolithic (period, tier=period); fertile_crescent_neolithic_era (period, tier=period); neolithic_era (period, tier=regional_era); nile_valley_neolithic_era (period, tier=period); seshat_deccan_indecnl (polity, entity_type=polity); seshat_deccan_indecnl_period (period, tier=period); seshat_kachi_plain_pkacern (polity, entity_type=polity); ses",,Backfilled the matched record's external_ids.wikidata + source_urls with this article's QID/URL.,,https://en.wikipedia.org/wiki/Neolithic,Q36422,matched record has no wikidata id on file,,,
Bronze Age,period,Cradles of civilization,c. 3300-1200 BCE,present,"bronze_age_era (period, tier=regional_era)",,,,https://en.wikipedia.org/wiki/Bronze_Age,Q11761,matched record has no wikidata id on file,http://localhost:8000/explore?entity=bronze_age_era,3200 BCE - 1046 BCE,"Overarching parent for the regional Bronze Age eras, which happened at meaningfully different times in different places -- spans from the start of the European Bronze Age (~-3,200) to the end of the E"
Copper Age / Chalcolithic,period,Ancient,,partial / related records exist,"copper_age_era (period, tier=regional_era)",,Backfilled the matched record's external_ids.wikidata + source_urls with this article's QID/URL.,,https://en.wikipedia.org/wiki/Chalcolithic,Q130253,matched record has no wikidata id on file,,,
Iron Age,period,Ancient,,present,"iron_age_era (period, tier=regional_era)",,,,https://en.wikipedia.org/wiki/Iron_Age,Q11764,matched record has no wikidata id on file,http://localhost:8000/explore?entity=iron_age_era,1200 BCE - 800 CE,"Overarching parent for the regional Iron Age eras (european_iron_age, sub_saharan_african_iron_age_era), which happened at meaningfully different times in different places -- same ""overarching regiona"
Classical antiquity,period,Axial Age,776 BCE onward,present,"classical_antiquity_era (period, tier=regional_era)",,,,https://en.wikipedia.org/wiki/Classical_antiquity,Q486761,matched record has no wikidata id on file,http://localhost:8000/explore?entity=classical_antiquity_era,1200 BCE - 900 CE,"Overarching parent for the regional Classical Antiquity eras (mediterranean_classical_era, east_asian_classical_era, south_asian_classical_era, mesoamerican_formative_classic_era, andean_early_civiliz"
Modern era,period,Modern,c. 1800 CE onward,partial / related records exist,"africa_early_modern_connections_era (period, tier=regional_era); antarctica_early_modern_connections_era (period, tier=regional_era); asia_early_modern_connections_era (period, tier=regional_era); europe_early_modern_connections_era (period, tier=regional_era); north_america_early_modern_connections_era (period, tier=regional_era); oceania_early_modern_connections_era (period, tier=regional_era); ",,,,https://en.wikipedia.org/wiki/Modern_era,Q3281534,matched record has no wikidata id on file,,,
Ancient Egypt,civilization,Cradles of civilization,3200 BCE onward,present,"ancient_egypt_period (period, tier=period civilization_lane)",,,,https://en.wikipedia.org/wiki/Ancient_Egypt,Q11768,confirmed: same Wikidata item,http://localhost:8000/explore?entity=ancient_egypt_period,4000 BCE - 29 BCE,Ancient Egypt spans several distinct political phases; rendered as period context so those phases (not this civilization-level record) carry the chart's political weight.
Indus Valley Civilization,civilization,Cradles of civilization,2500 BCE onward,present,"indus_valley_civilization_period (period, tier=period civilization_lane)",,,,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation,Q42534,confirmed: same Wikidata item,http://localhost:8000/explore?entity=indus_valley_civilization_period,3000 BCE - 1800 BCE,"Indus script is undeciphered, hence protohistorical. No matching polities/ record -- distributed across major urban centers (Harappa, Mohenjo-daro...), not a single political actor."
