name,type,source_rank,approx_dates,status,matching_histomap_records,classification_flag,notes,suggested_action,wikipedia_url,wikidata_qid,qid_cross_check,histomap_url,histomap_dates,histomap_notes
The Agricultural Revolution,event,1,c. 11000-4000 BCE,present,neolithic_revolution (event),,,,https://en.wikipedia.org/wiki/Neolithic_Revolution,Q180548,http://localhost:8000/explore?entity=neolithic_revolution,-10000,,
First Cities Emerge in Mesopotamia,polity,2,c. 4500-2000 BCE,present,sumer (polity),,,,https://en.wikipedia.org/wiki/Sumer,Q35355,http://localhost:8000/explore?entity=sumer,,,
Great Pyramid of Giza,monument,5,c. 2600 BCE,out of scope,ancient_egypt_period already covers this span,"monument, not an entity",The pyramid itself is a monument; the era is already covered by ancient_egypt_period.,no action,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,Q37200,,,,
Origin of Modern Alphabets,technology,6,c. 1850-800 BCE,out of scope,,not a polity/period/event,"Writing-system history, not an entity Histomap models.",no action,https://en.wikipedia.org/wiki/History_of_the_alphabet,Q911270,,,,
Code of Hammurabi,event,7,c. 1754 BCE,partial / related record exists,"babylonia (polity, spans -1900 to -538, includes Hammurabi's Old Babylonian Empire)",,"The legal code itself is a text, not an event Histomap models, but the Old Babylonian Empire under Hammurabi is already covered by babylonia.yaml.",no action,https://en.wikipedia.org/wiki/Code_of_Hammurabi,Q93304,,http://localhost:8000/explore?entity=babylonia,-1900 to -538,
Rise of Ancient Greek Civilization,civilization,9,c. 800-336 BCE,missing,"mediterranean_classical_era (period, regional era only); mycenaean_greece_period (earlier phase only); no civilization-as-backdrop record for Ancient Greece",candidate for new civilization-lane period,"Egypt/Mesopotamia/China each have a dedicated civilization-as-backdrop period (ancient_egypt_period, mesopotamia_period, chinese civilization); Ancient Greece has no equivalent even though individual Greek polities/periods exist.",consider a new ancient_greece_period (civilization_lane=true),https://en.wikipedia.org/wiki/Ancient_Greece,Q11772,,,,
Life of the Buddha / Birth of Buddhism,event,10,c. 563-400 BCE,missing,,"candidate event, same pattern as neolithic_revolution",A major religion-founding event with the same civilizational significance as the Neolithic Revolution's own event record.,consider a new event record,https://en.wikipedia.org/wiki/The_Buddha,Q9441,,,,
Life of Confucius / Birth of Confucianism,event,11,551-479 BCE,missing,,candidate event,Same reasoning as Buddhism above.,consider a new event record,https://en.wikipedia.org/wiki/Confucius,Q4604,,,,
Alexander the Great's Empire,polity,12,336-323 BCE,partial / related record exists,"macedonian_empire_period (period, wikidata Q13405524 -- a different QID from Alexander the Great himself, Q8409)","QID mismatch, but same underlying entity","The existing record covers the Macedonian Empire as an entity; Q8409 is the person, not the state, so this is not a genuine duplicate risk.",no action,https://en.wikipedia.org/wiki/Alexander_the_Great,Q8409,different QID (person vs. state) -- not a duplicate,http://localhost:8000/explore?entity=macedonian_empire_period,,
Unification of China (Qin Shi Huang),polity,13,247-206 BCE,present,qin_dynasty (polity),,,,https://en.wikipedia.org/wiki/Qin_dynasty,Q7183,http://localhost:8000/explore?entity=qin_dynasty,,,
Rise and Fall of Ancient Rome,polity,14,c. 202 BCE - 476 CE,partial / related records exist,"western_roman_empire, byzantine_empire, seshat_roman_empire_trromdm (polities) -- no single record for the undivided Roman Empire (Q2277)","granularity mismatch, not a gap","Histomap already splits Rome into its constitutional phases (Republic/Empire/Western/Byzantine); the undivided ""Roman Empire"" Wikipedia concept spans several of those.",no action,https://en.wikipedia.org/wiki/Roman_Empire,Q2277,,,,
Life of Jesus / Birth of Christianity,event,16,c. 4 BCE - 50 CE,missing,,"candidate event, same pattern as Buddhism/Confucianism above",Same reasoning as Buddha/Confucius.,consider a new event record,https://en.wikipedia.org/wiki/Jesus,Q302,,,,
